Site,Date,Temperature,Salinity,Conductivity,pH,DO_mg,DO_Percent,specpH,TA,pCO2,Omega_Ar,Omega_Ca,spec_pH_old,pCO2_old,Omega_Ca_old,Omega_Ar_old,Sal_recrip_transform
VP,7/23/18,27.4,16.49,28244,7.7,6.77,95.2,7.802341462,1580.234,655.844171,1.106142516,1.810408149,7.791,769.16954,2.01451,1.23098,0.060642814
VP,8/6/18,28.1,15.87,27668,7.69,3.93,55.2,7.558986789,1552.231,1191.560086,0.65557954,1.075498402,7.544,1433.2254,1.20709,0.73588,0.063011972
VP,8/20/18,27.7,16.21,27913,7.65,5.52,77.1,7.50685557,1581.6705,1368.613431,0.591765718,0.969597592,7.493,1610.0683,1.07032,0.653313,0.061690315
VP,9/3/18,30.8,16.51,30131,8.17,3.34,48.5,8.037964005,1614.9855,364.9548457,2.07808245,3.368416727,8.028,417.91477,3.68907,2.276163,0.060569352
VP,9/17/18,26.4,14.94,25327,7.6,3.02,40.7,7.523839032,1582.667,1331.898569,0.560931391,0.930400453,7.606,1586.2953,1.014126,0.61148,0.066934404
VP,10/2/18,25.8,14.9,25089,7.91,3.08,40.9,7.780759553,1562.101,699.0453017,0.937672752,1.558153528,7.763,842.6339,1.728663,1.0404,0.067114094
VP,10/16/18,22.3,13.2,20790,7.43,6.64,69.7,7.774262668,1466.985,676.5788341,0.714249752,1.211387089,7.747,888.9954367,1.401076667,0.826186667,0.075757576
VP,10/30/18,17.4,16.81,23402,7.97,10.3,120.2,7.932372611,1613.779,464.2183766,0.993584031,1.66308952,7.93,524.87347,1.833743333,1.09567,0.0594884
VP,11/8/18,17.4,16.42,22857,8.15,10.8,125.3,8.096393807,1583.61,301.5996123,1.350640047,2.266530899,8.091,347.6719667,2.55111,1.520403333,0.06090134
VP-2,11/13/18,14.5,13.54,17897,7.9,10.14,107.8,7.872232219,1400.603,486.0705669,0.611411756,1.052349491,7.848,663.1220533,1.28511,0.746733333,0.073855244
VP-2,11/20/18,13.2,13.91,17809,7.96,11.37,118.3,7.87783668,1422.799,480.8892424,0.602160877,1.036476616,7.8564633,506.51655,0.989156,0.57467,0.071890726
VP-2,11/27/18,10.9,14.08,17044,7.86,10.65,113,7.866538916,1446.91,495.1863851,0.545721282,0.942281566,7.8458333,520.5991,0.9000336,0.52143,0.071022727
VP-2,12/4/18,10.8,13.85,16731,8.06,12.55,123.6,8.021410073,1454.975,341.3247267,0.756534732,1.308548579,8.0010567,358.84408,1.252346,0.724043,0.072202166
VP-2,12/13/18,6.6,11.27,12403,7.77,14.19,128.1,7.872859598,1286.675,441.9897811,0.374501077,0.663727397,7.8312067,488.49306,0.60536,0.3415733,0.088731145
