Sample_ID,Site,Set,Number,P_Glycogen_DW,Log_Gly,Sqrt_Gly,P_DeltaGly_DW,Log_Delta_Gly,Sqrt_Delta_Gly,ConditionIndex,Log_CI,Sqrt_CI,Delta_CI,Log_Delta_CI,Sqrt_Delta_CI
VP-1-02-G,VP,Set1,4,3.944838182,0.596029193,0.77202927,NA,NA,NA,5.064681423,0.704552133,0.839376038,NA,NA,NA
VP-1-03-G,VP,Set1,4,9.838338941,0.99292178,0.996454605,NA,NA,NA,3.549774752,0.550200796,0.741755213,NA,NA,NA
VP-1-04-G,VP,Set1,4,4.527101999,0.65582028,0.809827315,NA,NA,NA,3.660200428,0.563504867,0.750669612,NA,NA,NA
VP-1-05-G,VP,Set1,4,8.042498276,0.905390976,0.95152035,NA,NA,NA,4.644094938,0.666901089,0.816640122,NA,NA,NA
VP-1-06-G,VP,Set1,4,14.0061143,1.146317666,1.070662256,NA,NA,NA,4.970046009,0.696360409,0.83448212,NA,NA,NA
VP-1-07-G,VP,Set1,4,5.475020399,0.738385742,0.859293746,NA,NA,NA,4.061054387,0.608638806,0.780153066,NA,NA,NA
VP-1-08-G,VP,Set1,4,13.50400305,1.130462527,1.063232113,NA,NA,NA,4.001842307,0.602259971,0.776054103,NA,NA,NA
VP-1-09-G,VP,Set1,4,6.959990056,0.842608619,0.917937154,NA,NA,NA,3.60247878,0.556601431,0.746057257,NA,NA,NA
MR-2-01-G,MR,Set2,1,8.79394811,0.944183899,0.971691257,-1.5327273,-2.533112057,-3.527977782,5.46325551,0.737451512,0.858749971,-0.5792149,-1.34551863,-2.21852833
MR-2-02-G,MR,Set2,1,8.90677497,0.94972048,0.974536033,-1.4199004,-2.420285157,-3.415150882,6.16074474,0.789633215,0.888613085,0.11827432,-0.64802941,-1.52103911
MR-2-03-G,MR,Set2,1,9.34461188,0.970561268,0.98517068,-0.9820635,-1.982448257,-2.977313982,4.66518497,0.668868868,0.817844036,-1.3772854,-2.14358913,-3.01659883
MR-2-04-G,MR,Set2,1,6.52296016,0.814444726,0.902465914,-3.8037152,-4.804099957,-5.798965682,4.73949362,0.675731943,0.822029162,-1.3029768,-2.06928053,-2.94229023
MR-2-05-G,MR,Set2,1,9.73912462,0.988519923,0.994243392,-0.5875508,-1.587935557,-2.582801282,5.22229447,0.717861357,0.847266993,-0.8201759,-1.58647963,-2.45948933
MR-2-06-G,MR,Set2,1,12.1803323,1.085659137,1.041949681,1.8536569,0.853272143,-0.141593582,4.26802024,0.63022647,0.793868043,-1.7744502,-2.54075393,-3.41376363
MR-2-07-G,MR,Set2,1,11.5110825,1.061116167,1.03010493,1.1844071,0.184022343,-0.810843382,4.88771105,0.689105524,0.8301238,-1.1547594,-1.92106313,-2.79407283
MR-2-08-G,MR,Set2,1,11.5103456,1.061088364,1.030091435,1.18367021,0.183285453,-0.811580272,5.93185739,0.773190701,0.87931263,-0.110613,-0.87691673,-1.74992643
MR-2-09-G,MR,Set2,1,14.5746951,1.163599478,1.078702683,4.24801973,3.247634973,2.252769248,5.80716086,0.763963856,0.87405026,-0.2353096,-1.00161333,-1.87462303
PR-2-01-G,PR,Set2,2,21.0532777,1.323319719,1.150356344,6.99396229,5.993577533,4.998711808,4.25667971,0.629070973,0.793139946,-2.7745235,-3.54082723,-4.41383693
PR-2-02-G,PR,Set2,2,21.0290713,1.322820094,1.150139163,6.96975588,5.969371123,4.974505398,5.95954419,0.775213044,0.880461836,-1.071659,-1.83796273,-2.71097243
PR-2-03-G,PR,Set2,2,22.3170487,1.348636761,1.161308211,8.2577333,7.257348543,6.262482818,4.68760831,0.670951315,0.819116179,-2.3435949,-3.10989863,-3.98290833
PR-2-04-G,PR,Set2,2,28.1525358,1.449517519,1.203959102,14.0932204,13.09283564,12.09796992,5.80423279,0.763744822,0.873924952,-1.2269704,-1.99327413,-2.86628383
PR-2-05-G,PR,Set2,2,17.3324789,1.23886068,1.113041185,3.27316346,2.272778703,1.277912978,5.52456556,0.742298132,0.861567253,-1.5066377,-2.27294143,-3.14595113
PR-2-06-G,PR,Set2,2,7.11858196,0.85239349,0.923251585,-6.9407334,-7.941118157,-8.935983882,5.81448871,0.764511532,0.874363501,-1.2167145,-1.98301823,-2.85602793
PR-2-07-G,PR,Set2,2,17.7792515,1.249913473,1.117995292,3.71993609,2.719551333,1.724685608,5.27392167,0.722133675,0.849784488,-1.7572816,-2.52358533,-3.39659503
PR-2-08-G,PR,Set2,2,29.7520916,1.473517502,1.213885292,15.6927762,14.69239144,13.69752572,4.61884547,0.664533433,0.8151892,-2.4123578,-3.17866153,-4.05167123
PR-2-09-G,PR,Set2,2,16.9573511,1.229358012,1.108764182,2.89803568,1.897650923,0.902785198,5.06794795,0.704832146,0.83954282,-1.9632553,-2.72955903,-3.60256873
PR-2-10-G,PR,Set2,2,25.88574,1.413060585,1.188722249,11.8264246,10.82603984,9.831174118,5.65472277,0.752411318,0.867416462,-1.3764805,-2.14278423,-3.01579393
PR-2-11-G,PR,Set2,2,17.0968222,1.232915395,1.110367234,3.03750676,2.037122003,1.042256278,5.63179613,0.750646925,0.866398826,-1.3994071,-2.16571083,-3.03872053
PR-2-12-G,PR,Set2,2,11.3519452,1.055070286,1.027166143,-2.7073702,-3.707754957,-4.702620682,5.98340694,0.776948541,0.881446845,-1.0477963,-1.81410003,-2.68710973
PR-2-13-G,PR,Set2,2,12.5654026,1.099176408,1.048416143,-1.4939128,-2.494297557,-3.489163282,4.57087487,0.659999332,0.81240343,-2.4603284,-3.22663213,-4.09964183
PR-2-14-G,PR,Set2,2,17.3918832,1.24034661,1.113708494,3.33256777,2.332183013,1.337317288,4.17970887,0.621146033,0.788128183,-2.8514944,-3.61779813,-4.49080783
PR-2-15-G,PR,Set2,2,14.3125509,1.155717044,1.07504281,0.25323556,-0.747149197,-1.742014922,4.74261416,0.676017794,0.822203012,-2.2885891,-3.05489283,-3.92790253
UC-2-01-G,UC,Set2,3,6.49761148,0.812753739,0.901528557,-5.175135657,-6.175520414,-7.170386139,5.44512762,0.736008063,0.857909123,-1.607219,-2.37352273,-3.24653243
UC-2-02-G,UC,Set2,3,20.1437938,1.304141267,1.141990047,8.471046643,7.470661886,6.475796161,5.95826455,0.775119782,0.880408872,-1.0940821,-1.86038583,-2.73339553
UC-2-03-G,UC,Set2,3,7.85448233,0.895117567,0.94610653,-3.818264809,-4.818649566,-5.813515291,6.35624232,0.803200446,0.896214509,-0.6961043,-1.46240803,-2.33541773
UC-2-04-G,UC,Set2,3,15.1167429,1.179458227,1.086028649,3.443995774,2.443611017,1.448745292,5.61316043,0.749207455,0.865567707,-1.4391862,-2.20548993,-3.07849963
UC-2-05-G,UC,Set2,3,5.13171943,0.710262904,0.842770968,-6.541027706,-7.541412463,-8.536278188,8.16348912,0.911875818,0.954921891,1.11114246,0.34483873,-0.52817097
UC-2-06-G,UC,Set2,3,16.3109903,1.212480329,1.101126845,4.638243123,3.637858366,2.642992641,4.84358553,0.685166973,0.827748134,-2.2087611,-2.97506483,-3.84807453
UC-2-07-G,UC,Set2,3,18.9532602,1.277683925,1.130346816,7.280513068,6.280128311,5.285262586,4.75103992,0.67678868,0.822671672,-2.3013067,-3.06761043,-3.94062013
VP-2-01-G,VP,Set2,4,13.3145839,1.124327599,1.060343151,4.940151044,3.939766287,2.944900562,3.49449036,0.543383847,0.737145743,-0.6993342,-1.46563793,-2.33864763
VP-2-02-G,VP,Set2,4,7.48637082,0.874271335,0.935024778,-0.888062039,-1.888446796,-2.883312521,6.43978727,0.808871521,0.899372849,2.24596267,1.47965894,0.60664924
VP-2-03-G,VP,Set2,4,6.00835047,0.778755257,0.882471109,-2.366082393,-3.36646715,-4.361332875,4.58431798,0.661274734,0.813188006,0.39049338,-0.37581035,-1.24882005
VP-2-04-G,VP,Set2,4,10.3694676,1.015756459,1.007847438,1.995034691,0.994649934,-0.000215791,5.16696159,0.713235233,0.844532553,0.97313699,0.20683326,-0.66617644
VP-2-05-G,VP,Set2,4,6.85785099,0.836188044,0.914433182,-1.516581868,-2.516966625,-3.51183235,3.93062053,0.594461118,0.771013047,-0.2632041,-1.02950783,-1.90251753
VP-2-06-G,VP,Set2,4,12.2729439,1.088948749,1.043527072,3.898511061,2.898126304,1.903260579,4.63830594,0.666359391,0.816308392,0.44448134,-0.32182239,-1.19483209
VP-2-07-G,VP,Set2,4,16.7054502,1.222858184,1.105829184,8.331017294,7.330632537,6.335766812,4.35969023,0.639455632,0.799659698,0.16586563,-0.6004381,-1.4734478
VP-2-08-G,VP,Set2,4,51.9526386,1.71560761,1.309812051,43.57820575,42.57782099,41.58295527,5.0307573,0.701633366,0.837635581,0.8369327,0.07062897,-0.80238073
VP-2-09-G,VP,Set2,4,6.08085962,0.783964978,0.885417968,-2.293573241,-3.293957998,-4.288823723,3.80407142,0.580248662,0.761740548,-0.3897532,-1.15605693,-2.02906663
VP-2-04-G,VP,Set2,4,10.3694676,1.015756459,1.007847438,1.995034691,0.994649934,-0.000215791,5.16696159,0.713235233,0.844532553,0.97313699,0.20683326,-0.66617644
VP-2-05-G,VP,Set2,4,6.85785099,0.836188044,0.914433182,-1.516581868,-2.516966625,-3.51183235,3.93062053,0.594461118,0.771013047,-0.2632041,-1.02950783,-1.90251753
VP-2-06-G,VP,Set2,4,12.2729439,1.088948749,1.043527072,3.898511061,2.898126304,1.903260579,4.63830594,0.666359391,0.816308392,0.44448134,-0.32182239,-1.19483209
VP-2-07-G,VP,Set2,4,16.7054502,1.222858184,1.105829184,8.331017294,7.330632537,6.335766812,4.35969023,0.639455632,0.799659698,0.16586563,-0.6004381,-1.4734478
VP-2-08-G,VP,Set2,4,51.9526386,1.71560761,1.309812051,43.57820575,42.57782099,41.58295527,5.0307573,0.701633366,0.837635581,0.8369327,0.07062897,-0.80238073
VP-2-09-G,VP,Set2,4,6.08085962,0.783964978,0.885417968,-2.293573241,-3.293957998,-4.288823723,3.80407142,0.580248662,0.761740548,-0.3897532,-1.15605693,-2.02906663
